BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2025-05-06,Арсагера,ARSA,8,10906,10.91,10.85,10.93,10.92,10.91,10.93,1000,,10.89,,0,506455,,0,3,SUR,0.64,2025-05-06
TQBR,2025-05-06,АстрЭнСб,ASSB,29,144525,1.835,1.795,1.835,1.805,1.805,1.805,80000,,1.82,,0,500180,,0,3,SUR,0.28,2025-05-06
TQBR,2025-05-06,Астра ао,ASTR,13776,99232795.65,387.6,385.3,394.7,391.6,390.5,390.3,254131,390.4,390.4,,69126498.65,69126498.65,,0,3,SUR,0.9,2025-05-06
TQBR,2025-05-06,Авангрд-ао,AVAN,183,1407528,705,700,712,701,703,701,2002,703,703,,1407528,1407528,,0,3,SUR,0.14,2025-05-06
TQBR,2025-05-06,Башнефт ао,BANE,2816,78690053,1931.5,1855.5,1951,1916.5,1921,1915,40965,1912,1912,,18421780.5,18421780.5,,0,3,SUR,-0.85,2025-05-06
TQBR,2025-05-06,Башнефт ап,BANEP,3371,54566302.5,1123,1122.5,1152,1148.5,1139,1139,47906,1139,1139,,28825573.5,28825573.5,,0,3,SUR,0.75,2025-05-06
TQBR,2025-05-06,НоваБев ао,BELU,4589,56984137.5,470.5,469.5,476,474,473.5,473,120382,474,474,,33665467,33665467,,0,3,SUR,0.75,2025-05-06
TQBR,2025-05-06,БашИнСв ап,BISVP,27,122361,8.92,8.82,9,8.98,8.93,8.99,13700,,9.01,,0,503421,,0,3,SUR,2.16,2025-05-06
TQBR,2025-05-06,Белон ао,BLNG,953,15255366,13.84,13.76,14.44,14.29,14.15,14.29,1078100,14.15,14.15,,15255366,15255366,,0,3,SUR,5.15,2025-05-06
TQBR,2025-05-06,БурЗолото,BRZL,88,754714,1819,1812,1841,1826,1823,1826,414,1823,1823,,754714,754714,,0,3,SUR,1.61,2025-05-06
TQBR,2025-05-06,БСП ао,BSPB,11728,381561090.8,378.65,372.81,380.77,379.08,377.59,378.19,1010830,377.44,377.44,,260133853.6,260133853.6,,0,3,SUR,-0.06,2025-05-06
TQBR,2025-05-06,БСП ап,BSPBP,1095,25000130,59.05,59.05,66.5,62.8,63.6,62.8,393000,63.6,63.6,,25000130,25000130,,0,3,SUR,6.35,2025-05-06
TQBR,2025-05-06,СТГ,CARM,476,1388365.45,1.44,1.44,1.47,1.455,1.457,1.443,953000,1.4595,1.4595,,892080.9,892080.9,,0,3,SUR,0.42,2025-05-06
TQBR,2025-05-06,МКБ ао,CBOM,7021,130618174.4,7.212,7.1,7.35,7.132,7.205,7.11,18127700,7.214,7.214,,108312478.6,108312478.6,,0,3,SUR,-1.07,2025-05-06
TQBR,2025-05-06,РН-ЗапСиб,CHGZ,88,544202,86.6,84,91,87.6,86.6,87.6,6280,86.6,86.6,,544202,544202,,0,3,SUR,2.58,2025-05-06
TQBR,2025-05-06,ЧКПЗ ао,CHKZ,3,51450,17150,17150,17150,17150,17150,17150,3,,17100,,0,513500,,0,3,SUR,0.29,2025-05-06
TQBR,2025-05-06,СевСт-ао,CHMF,35129,1410259724.4,992.8,978.2,1021.8,1015.4,1003.6,1007.8,1405204,1003.2,1003.2,,1056450630,1056450630,,0,3,SUR,1.51,2025-05-06
TQBR,2025-05-06,ЧМК ао,CHMK,108,1269975,5220,5110,5350,5140,5205,5150,244,5205,5205,,1269975,1269975,,0,3,SUR,0.29,2025-05-06
TQBR,2025-05-06,ЦИАН,CNRU,3333,54607447.2,531.2,531.2,548.4,544.4,539.6,544.4,101203,539.6,539.6,,54607447.2,54607447.2,,0,3,SUR,2.91,2025-05-06
TQBR,2025-05-06,Телеграф,CNTL,139,779552,10.08,10.02,10.26,10.24,10.16,10.24,76700,10.16,10.16,,779552,779552,,0,3,SUR,1.79,2025-05-06
